model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.01,0.22,10.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.03,0.7,8.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.05,0.48,5.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.07,0.56,4.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.09,0.5,4.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.1,0.36,4.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,0.5,0.66,2.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,real,,atp,1.0,0.72,1.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.12,2.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.24,4.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.2,6.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.26,8.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.48,5.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.48,6.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.78,2.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.72,1.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.26,10.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.44,5.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.72,5.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.68,4.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.44,2.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.54,2.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.68,1.0
gemma-3-12b-it,paragraph,from_paragraph-long_to_sentence,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.72,1.0
