model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.01,0.06,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.03,0.22,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.05,0.22,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.07,0.36,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.09,0.68,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.1,0.62,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.5,0.96,4.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,1.0,0.98,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.01,0.0,1.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.03,0.0,1.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.05,0.0,1.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.07,0.0,1.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.09,0.08,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.1,0.12,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.5,0.98,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,1.0,0.96,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.0,1.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.02,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.06,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.14,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.26,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.4,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.86,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.96,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.01,0.36,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.03,0.62,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.05,0.46,5.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.07,0.64,5.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.09,0.62,4.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.1,0.58,4.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.5,0.66,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,1.0,0.74,1.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.01,0.12,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.03,0.24,4.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.05,0.2,6.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.07,0.26,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.09,0.48,5.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.1,0.48,6.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.5,0.78,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,1.0,0.72,1.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.36,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.54,10.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.78,6.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.7,8.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.66,5.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.72,4.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.64,2.0
gemma-3-12b-it,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.72,1.0
