model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.01,0.08,5.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.03,0.1,4.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.05,0.12,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.07,0.2,8.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.09,0.5,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.1,0.44,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.5,0.88,2.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,1.0,0.8,1.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.01,0.08,2.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.03,0.1,6.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.05,0.1,5.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.07,0.1,8.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.09,0.12,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.1,0.52,10.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.5,0.86,4.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,1.0,0.8,1.0
gemma-3-12b-it,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.1,5.0
