model,task,k,rank,n,r_over_n,d_L,d_S,n_collected,reps,rho1,rho_top5,floor,excess
gemma-3-12b-it,verse,0.05,2,64,0.0312,9120,9120,1200,3,0.929494,0.617321,0.14776,0.469561
gemma-3-12b-it,verse,0.05,4,64,0.0625,9120,9120,1200,3,0.969759,0.659165,0.207108,0.452056
gemma-3-12b-it,verse,0.05,8,64,0.125,9120,9120,1200,3,0.988998,0.955128,0.422343,0.532786
gemma-3-12b-it,verse,0.05,16,64,0.25,9120,9120,1200,3,0.997095,0.990486,0.728872,0.261615
gemma-3-12b-it,verse,0.05,24,64,0.375,9120,9120,1200,3,0.99929,0.997375,0.910675,0.0867
gemma-3-12b-it,verse,0.05,32,64,0.5,9120,9120,1200,3,1.0,0.999829,0.993565,0.006264
gemma-3-12b-it,verse,0.05,48,64,0.75,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,64,64,1.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,96,64,1.5,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,128,64,2.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,2,128,0.0156,9120,9120,1200,3,0.930189,0.734215,0.104481,0.629734
gemma-3-12b-it,verse,0.05,4,128,0.0312,9120,9120,1200,3,0.971697,0.664323,0.141989,0.522334
gemma-3-12b-it,verse,0.05,8,128,0.0625,9120,9120,1200,3,0.986643,0.955302,0.288942,0.66636
gemma-3-12b-it,verse,0.05,16,128,0.125,9120,9120,1200,3,0.99389,0.983724,0.523901,0.459823
gemma-3-12b-it,verse,0.05,24,128,0.1875,9120,9120,1200,3,0.996386,0.99187,0.678215,0.313655
gemma-3-12b-it,verse,0.05,32,128,0.25,9120,9120,1200,3,0.997855,0.995256,0.792925,0.202331
gemma-3-12b-it,verse,0.05,48,128,0.375,9120,9120,1200,3,0.999498,0.998712,0.935445,0.063267
gemma-3-12b-it,verse,0.05,64,128,0.5,9120,9120,1200,3,1.0,0.999977,0.998342,0.001635
gemma-3-12b-it,verse,0.05,96,128,0.75,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,128,128,1.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,verse,0.05,2,256,0.0078,9120,9120,1200,3,0.944608,0.720278,0.0705,0.649778
gemma-3-12b-it,verse,0.05,4,256,0.0156,9120,9120,1200,3,0.969902,0.627364,0.109227,0.518136
gemma-3-12b-it,verse,0.05,8,256,0.0312,9120,9120,1200,3,0.986915,0.960474,0.211791,0.748683
gemma-3-12b-it,verse,0.05,16,256,0.0625,9120,9120,1200,3,0.992273,0.981764,0.373725,0.60804
gemma-3-12b-it,verse,0.05,24,256,0.0938,9120,9120,1200,3,0.995226,0.988895,0.492325,0.496571
gemma-3-12b-it,verse,0.05,32,256,0.125,9120,9120,1200,3,0.996789,0.992363,0.580035,0.412328
gemma-3-12b-it,verse,0.05,48,256,0.1875,9120,9120,1200,3,0.998407,0.995779,0.724459,0.27132
gemma-3-12b-it,verse,0.05,64,256,0.25,9120,9120,1200,3,0.999063,0.997345,0.824169,0.173175
gemma-3-12b-it,verse,0.05,96,256,0.375,9120,9120,1200,3,0.999723,0.999245,0.952161,0.047084
gemma-3-12b-it,verse,0.05,128,256,0.5,9120,9120,1200,3,1.0,0.999995,0.999643,0.000352
gemma-3-12b-it,verse,0.05,2,384,0.0052,9120,9120,1200,3,0.949286,0.745286,0.056024,0.689263
gemma-3-12b-it,verse,0.05,4,384,0.0104,9120,9120,1200,3,0.971479,0.670048,0.07848,0.591569
gemma-3-12b-it,verse,0.05,8,384,0.0208,9120,9120,1200,3,0.986866,0.957435,0.1629,0.794535
gemma-3-12b-it,verse,0.05,16,384,0.0417,9120,9120,1200,3,0.993169,0.980588,0.304084,0.676504
gemma-3-12b-it,verse,0.05,24,384,0.0625,9120,9120,1200,3,0.994816,0.987056,0.397489,0.589567
gemma-3-12b-it,verse,0.05,32,384,0.0833,9120,9120,1200,3,0.9964,0.990801,0.473661,0.51714
gemma-3-12b-it,verse,0.05,48,384,0.125,9120,9120,1200,3,0.997785,0.994655,0.597442,0.397214
gemma-3-12b-it,verse,0.05,64,384,0.1667,9120,9120,1200,3,0.998646,0.996238,0.696462,0.299776
gemma-3-12b-it,verse,0.05,96,384,0.25,9120,9120,1200,3,0.999383,0.99811,0.838813,0.159297
gemma-3-12b-it,verse,0.05,128,384,0.3333,9120,9120,1200,3,0.999701,0.99914,0.927889,0.071251
gemma-3-12b-it,verse,0.05,2,512,0.0039,9120,9120,1200,3,0.937801,0.742837,0.057527,0.685311
gemma-3-12b-it,verse,0.05,4,512,0.0078,9120,9120,1200,3,0.968653,0.666815,0.07615,0.590665
gemma-3-12b-it,verse,0.05,8,512,0.0156,9120,9120,1200,3,0.987558,0.9592,0.151118,0.808082
gemma-3-12b-it,verse,0.05,16,512,0.0312,9120,9120,1200,3,0.992965,0.980246,0.267591,0.712655
gemma-3-12b-it,verse,0.05,24,512,0.0469,9120,9120,1200,3,0.994599,0.986513,0.352391,0.634122
gemma-3-12b-it,verse,0.05,32,512,0.0625,9120,9120,1200,3,0.996709,0.990795,0.416043,0.574753
gemma-3-12b-it,verse,0.05,48,512,0.0938,9120,9120,1200,3,0.997676,0.994334,0.524068,0.470267
gemma-3-12b-it,verse,0.05,64,512,0.125,9120,9120,1200,3,0.998421,0.995934,0.612536,0.383398
gemma-3-12b-it,verse,0.05,96,512,0.1875,9120,9120,1200,3,0.999067,0.997673,0.747359,0.250314
gemma-3-12b-it,verse,0.05,128,512,0.25,9120,9120,1200,3,0.999458,0.998568,0.842958,0.15561
gemma-3-12b-it,verse,0.05,2,640,0.0031,9120,9120,1200,3,0.934061,0.719649,0.045544,0.674106
gemma-3-12b-it,verse,0.05,4,640,0.0063,9120,9120,1200,3,0.965849,0.655008,0.066588,0.58842
gemma-3-12b-it,verse,0.05,8,640,0.0125,9120,9120,1200,3,0.987037,0.958817,0.128723,0.830094
gemma-3-12b-it,verse,0.05,16,640,0.025,9120,9120,1200,3,0.992281,0.980159,0.232259,0.7479
gemma-3-12b-it,verse,0.05,24,640,0.0375,9120,9120,1200,3,0.994388,0.98636,0.311129,0.675231
gemma-3-12b-it,verse,0.05,32,640,0.05,9120,9120,1200,3,0.995809,0.990171,0.373882,0.616289
gemma-3-12b-it,verse,0.05,48,640,0.075,9120,9120,1200,3,0.997357,0.993599,0.472688,0.520911
gemma-3-12b-it,verse,0.05,64,640,0.1,9120,9120,1200,3,0.998222,0.995422,0.550128,0.445294
gemma-3-12b-it,verse,0.05,96,640,0.15,9120,9120,1200,3,0.998911,0.997219,0.677984,0.319236
gemma-3-12b-it,verse,0.05,128,640,0.2,9120,9120,1200,3,0.999355,0.998215,0.770915,0.2273
gemma-3-12b-it,summarization,0.05,2,64,0.0312,9120,9120,1200,3,0.679018,0.601038,0.115141,0.485896
gemma-3-12b-it,summarization,0.05,4,64,0.0625,9120,9120,1200,3,0.879559,0.548104,0.187914,0.36019
gemma-3-12b-it,summarization,0.05,8,64,0.125,9120,9120,1200,3,0.943943,0.771367,0.414859,0.356507
gemma-3-12b-it,summarization,0.05,16,64,0.25,9120,9120,1200,3,0.976262,0.916173,0.736733,0.17944
gemma-3-12b-it,summarization,0.05,24,64,0.375,9120,9120,1200,3,0.993695,0.978877,0.91176,0.067117
gemma-3-12b-it,summarization,0.05,32,64,0.5,9120,9120,1200,3,1.0,0.999059,0.99398,0.005079
gemma-3-12b-it,summarization,0.05,48,64,0.75,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,summarization,0.05,64,64,1.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,summarization,0.05,96,64,1.5,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,summarization,0.05,128,64,2.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,summarization,0.05,2,128,0.0156,9120,9120,1200,3,0.637338,0.547573,0.11765,0.429923
gemma-3-12b-it,summarization,0.05,4,128,0.0312,9120,9120,1200,3,0.865788,0.57544,0.150097,0.425342
